,VTM,,
Compound,20191022 126 VTM BLANK-r001,20191022 126 VTM BLANK-r002,20191022 126 VTM BLANK-r003
12.27_304.2840m/z,26330.15916,26404.64733,26341.78372
9.83_807.4841n,43757.10124,42485.68538,43523.13588
11.27_414.2055n,35563.12015,35177.5508,35283.68683
9.21_684.4188n,46062.15997,46227.27636,45573.52755
10.00_716.4262n,43558.89071,43953.80115,44150.97274
9.80_571.8540n,48167.90615,49087.32706,48966.08823
10.10_887.5239m/z,40938.80188,40143.39569,41313.20061
9.70_685.8902n,48778.45296,49243.5358,49683.09899
6.52_834.8542m/z,47582.8203,48527.98413,47814.92478
9.31_505.2788m/z,49384.20926,49467.54172,49138.83666
11.96_199.1748m/z,27802.53498,27733.24286,27412.33134
6.11_748.7783m/z,9232.188498,9656.940703,9699.644362
4.68_299.0628m/z,50688.80751,50177.27372,50417.34462
14.40_536.1653m/z,0,0,0
9.91_613.3790m/z,46681.00718,46948.93677,47491.73415
5.98_515.0923m/z,28769.40131,29304.06354,28843.7571
1.20_170.1063n,52062.81399,51175.01696,50532.07988
2.33_170.0431m/z,20370.63059,20261.72835,21266.79801
10.09_883.5231m/z,42551.2558,41663.2074,41572.58416
9.03_630.3857m/z,51168.38092,51517.9474,51799.15176
9.65_438.7723n,51094.24327,50347.22085,50780.55814
9.64_679.8894m/z,51769.8904,51260.49566,52136.77946
10.46_118.0282n,51832.37611,52138.52529,51499.65791
9.29_521.2862m/z,50663.48493,49160.52053,38583.98732
3.18_161.0241m/z,32524.48119,32833.56967,32594.57157
9.89_646.3807m/z,50650.05384,50249.25776,49951.50569
9.72_719.4272m/z,49398.69026,49853.53673,49588.77607
10.08_927.5489m/z,43910.73964,43116.76446,42498.29747
9.26_171.1047m/z,23353.91666,23373.96762,22846.2659
9.86_576.3511m/z,49958.50423,49514.33613,49824.29859
6.10_1019.3478m/z,13600.05331,13791.79943,13807.11773
9.86_902.5283m/z,44908.04262,45143.95056,45153.34689
9.39_602.3660m/z,53569.21879,53655.37119,53772.78009
9.25_457.7530m/z,54103.07263,54185.67767,54388.70665
3.94_134.0944n,8415.297248,8130.666505,8267.181377
9.26_869.5243n,46443.76013,46720.70923,46668.72364
8.17_365.1580m/z,13779.20782,13738.59202,13665.26806
11.74_329.1761m/z,33561.67252,33174.19409,33288.05636
11.70_323.1977m/z,8945.465478,8914.042434,9172.214942
0.81_130.0507m/z,19415.16205,19241.18895,20420.51664
9.73_631.3704n,52840.02895,52748.56255,53261.1444
9.55_597.3513m/z,56440.80878,55673.74003,56166.32074
9.06_363.2165n,56099.57691,56307.46137,57749.08729
9.77_751.9547n,53842.44145,54557.14989,55044.69743
6.91_972.3798m/z,49588.61073,50013.27327,50047.42421
13.16_376.2981m/z,33241.18015,33978.85175,33958.246
5.82_158.9642m/z,49834.65706,50225.39299,49925.558
13.12_123.0813m/z,36661.02344,36348.24825,36142.70471
